,dao_name,space_id,proposal_id,voter,voting_power
0,Biconomy,biconomy.eth,0x13f80b7cb214f4bba5c032dfb0ecc83a9c565cc82a59e9b16b128dd73729abea,0xf03336c8c2b040cf026af8774b67127dff5413a5,5
1,Biconomy,biconomy.eth,0x13f80b7cb214f4bba5c032dfb0ecc83a9c565cc82a59e9b16b128dd73729abea,0x9cc819c325d8bae4dea27387acaac71892a7cc02,1
2,Biconomy,biconomy.eth,0x13f80b7cb214f4bba5c032dfb0ecc83a9c565cc82a59e9b16b128dd73729abea,0xc2573bde3304a7a27aa3da6b58cacd0bd744078d,1
3,Biconomy,biconomy.eth,0x13f80b7cb214f4bba5c032dfb0ecc83a9c565cc82a59e9b16b128dd73729abea,0xc139971529fe84dfac8c91241506860ca8f5009d,4933
4,Biconomy,biconomy.eth,0x13f80b7cb214f4bba5c032dfb0ecc83a9c565cc82a59e9b16b128dd73729abea,0xc134f280c35dfd5ccd47ea1584e987ab64389fc6,2000
5,Biconomy,biconomy.eth,0x13f80b7cb214f4bba5c032dfb0ecc83a9c565cc82a59e9b16b128dd73729abea,0x685d9638f22b552e1f9fe4e1325970fc07e52993,2000
6,Biconomy,biconomy.eth,0x13f80b7cb214f4bba5c032dfb0ecc83a9c565cc82a59e9b16b128dd73729abea,0x3420c19bcd121e6febcc20fd502b14a71c2f857b,50
7,Biconomy,biconomy.eth,0x13f80b7cb214f4bba5c032dfb0ecc83a9c565cc82a59e9b16b128dd73729abea,0xc34ed163983db86f695b1809767456b413440c32,2000
8,Biconomy,biconomy.eth,0x13f80b7cb214f4bba5c032dfb0ecc83a9c565cc82a59e9b16b128dd73729abea,0x93713bcbe5d637f5dab950825b4c8c3965fae60a,2000
9,Biconomy,biconomy.eth,0x13f80b7cb214f4bba5c032dfb0ecc83a9c565cc82a59e9b16b128dd73729abea,0xdd7724eff52c6ec5f2f7649eadd5025d890b3690,300
10,Biconomy,biconomy.eth,0x13f80b7cb214f4bba5c032dfb0ecc83a9c565cc82a59e9b16b128dd73729abea,0x127e5be36ffa7f834a58d8a3bf99b223154ead38,615
11,Biconomy,biconomy.eth,0x13f80b7cb214f4bba5c032dfb0ecc83a9c565cc82a59e9b16b128dd73729abea,0x3beca87dd176c613db59af20619dd9e0a99c6606,895
12,Biconomy,biconomy.eth,0x13f80b7cb214f4bba5c032dfb0ecc83a9c565cc82a59e9b16b128dd73729abea,0x55d7af293204dda491de0509b44e5d47ae4a3b33,905
13,Biconomy,biconomy.eth,0x13f80b7cb214f4bba5c032dfb0ecc83a9c565cc82a59e9b16b128dd73729abea,0xd182f2ff6aa0293a7be976de0018909c9ab1568b,2000
14,Biconomy,biconomy.eth,0x13f80b7cb214f4bba5c032dfb0ecc83a9c565cc82a59e9b16b128dd73729abea,0xf997558ae6ab4e5b7df35b6686becf512a50202c,100
15,Biconomy,biconomy.eth,0x13f80b7cb214f4bba5c032dfb0ecc83a9c565cc82a59e9b16b128dd73729abea,0xae2f5b9541d66667f6e21aee17073cb2ef583755,875
0,MetricsDAO,vote.metricsdao.eth,0xa4815ed0c9d4f52f5216b4857278b84770c90d339a7628468cb0f3377ec51a77,0x477c2087f3d6e49b1be5c790a33b3a025a4fa569,1
1,MetricsDAO,vote.metricsdao.eth,0xa4815ed0c9d4f52f5216b4857278b84770c90d339a7628468cb0f3377ec51a77,0xff8d58f85a4f7199c4b9461f787cd456ad30e594,1
2,MetricsDAO,vote.metricsdao.eth,0xa4815ed0c9d4f52f5216b4857278b84770c90d339a7628468cb0f3377ec51a77,0xb8c2d03cafffe98e35ceea1a399372dd8fafa91a,1
3,MetricsDAO,vote.metricsdao.eth,0xa4815ed0c9d4f52f5216b4857278b84770c90d339a7628468cb0f3377ec51a77,0x48ff4d06ceb0d69c958ee7856a2629bb568cffdc,1
4,MetricsDAO,vote.metricsdao.eth,0xa4815ed0c9d4f52f5216b4857278b84770c90d339a7628468cb0f3377ec51a77,0x581bef12967f06f2ebfcabb7504fa61f0326cd9a,1
5,MetricsDAO,vote.metricsdao.eth,0xa4815ed0c9d4f52f5216b4857278b84770c90d339a7628468cb0f3377ec51a77,0x04ae8c108743167c7457073ba8c1571fd5d56325,1
6,MetricsDAO,vote.metricsdao.eth,0xa4815ed0c9d4f52f5216b4857278b84770c90d339a7628468cb0f3377ec51a77,0xabf28f8d9adfb2255f4a059e37d3bce9104969db,1
